27.929760, -80.713520, altitude (ft): 12, sats: 12, UTC 20:33:14
27.929763, -80.713522, altitude (ft): 13, sats: 12, UTC 20:33:15
27.929763, -80.713525, altitude (ft): 13, sats: 12, UTC 20:33:16
27.929765, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:17
27.929773, -80.713522, altitude (ft): 13, sats: 12, UTC 20:33:18
27.929777, -80.713525, altitude (ft): 13, sats: 12, UTC 20:33:19
27.929777, -80.713532, altitude (ft): 13, sats: 12, UTC 20:33:20
27.929773, -80.713530, altitude (ft): 13, sats: 12, UTC 20:33:21
27.929775, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:22
27.929775, -80.713527, altitude (ft): 13, sats: 12, UTC 20:33:23
27.929777, -80.713528, altitude (ft): 13, sats: 12, UTC 20:33:24
27.929780, -80.713525, altitude (ft): 13, sats: 12, UTC 20:33:25
27.929777, -80.713523, altitude (ft): 12, sats: 12, UTC 20:33:26
27.929775, -80.713523, altitude (ft): 12, sats: 12, UTC 20:33:27
27.929777, -80.713522, altitude (ft): 12, sats: 12, UTC 20:33:28
27.929778, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:29
27.929777, -80.713527, altitude (ft): 13, sats: 12, UTC 20:33:30
27.929775, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:31
27.929777, -80.713518, altitude (ft): 13, sats: 12, UTC 20:33:32
27.929778, -80.713520, altitude (ft): 13, sats: 12, UTC 20:33:33
27.929777, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:34
27.929775, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:35
27.929773, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:36
27.929775, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:37
27.929775, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:38
27.929775, -80.713522, altitude (ft): 13, sats: 12, UTC 20:33:39
27.929775, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:40
27.929777, -80.713525, altitude (ft): 13, sats: 12, UTC 20:33:41
27.929778, -80.713522, altitude (ft): 13, sats: 12, UTC 20:33:42
27.929778, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:43
27.929777, -80.713525, altitude (ft): 13, sats: 12, UTC 20:33:44
27.929777, -80.713523, altitude (ft): 12, sats: 12, UTC 20:33:45
27.929778, -80.713518, altitude (ft): 12, sats: 12, UTC 20:33:46
27.929777, -80.713518, altitude (ft): 12, sats: 12, UTC 20:33:47
27.929775, -80.713522, altitude (ft): 12, sats: 12, UTC 20:33:48
27.929773, -80.713522, altitude (ft): 12, sats: 12, UTC 20:33:49
27.929773, -80.713520, altitude (ft): 12, sats: 12, UTC 20:33:50
27.929775, -80.713523, altitude (ft): 12, sats: 12, UTC 20:33:51
27.929775, -80.713525, altitude (ft): 12, sats: 12, UTC 20:33:52
27.929775, -80.713525, altitude (ft): 12, sats: 12, UTC 20:33:53
27.929775, -80.713523, altitude (ft): 12, sats: 12, UTC 20:33:54
27.929773, -80.713525, altitude (ft): 12, sats: 12, UTC 20:33:55
